variable,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
variable_1,-0.880883,-1.077278,-0.956218,1.314350,-0.474002,-1.938946,0.897447,-1.492669,-0.863215,-0.528438,-0.971264,0.573994,-0.485123,-1.545792,1.260389,-1.621560,0.877487,0.444182,0.943703,0.573127,1.242009,2.351522,-1.189253,-1.197982,-0.696514,-1.641870,-0.058074,1.170693,-0.078091,-1.365008,-0.671842,-0.530866,-0.775349,1.702875,-2.079261,-0.062752,0.736521,-0.904505,-0.483467,0.933898,0.013441,3.048586,-1.023524,0.927065,-0.837690,-0.339629,-0.594251,-0.274596,1.903293,1.613079,0.038103,-0.310329,1.904307,-0.376009,-1.609188,-0.975178,-0.160832,-0.707135,0.029675,1.028109,0.484523,-0.862749,0.352446,-0.950773,1.747632,-0.470144,0.571806,-2.189954,-0.171349,0.143056,1.434215,0.127944,0.308321,-0.202424,0.451239,-0.170152,-1.931976,0.444912,1.270171,-0.325361,-0.261614,-1.141661,-0.087060,0.259379,-0.774036,-1.243691,0.587344,0.739624,1.349545,1.336753,0.127732,1.030053,-0.245541,0.442651,-1.591854,0.651577,0.514864,-0.763343,-0.308788,-0.761294
variable_2,-0.335462,-0.766612,-1.154274,0.195599,0.239121,-1.448051,-2.071057,1.986404,-0.008533,1.499108,-0.406146,0.839973,0.010950,-2.881998,1.084408,-0.476791,1.929939,-0.180610,0.030646,0.392940,2.586350,-0.232393,-0.874603,-1.424141,-0.999800,0.061341,0.526529,-1.291955,0.699703,-0.405814,1.716671,-0.774860,-0.806460,-0.105595,-0.679015,-1.228962,0.857075,-0.181739,-0.400527,0.990763,-1.800840,0.103424,-1.586244,0.070120,0.663680,-1.049898,0.095950,-1.817060,-0.000316,-0.179529,1.268322,0.093423,-1.592148,0.497068,0.506510,1.919179,-0.008617,0.373780,0.375547,1.066687,-0.440179,1.761760,-0.197005,-0.764158,0.645358,0.079753,0.537652,0.013582,0.330598,1.618363,-0.688622,-0.509443,0.127171,0.115389,2.400351,-0.219424,-0.002760,0.245261,1.135565,-0.398442,0.399389,-0.012484,-0.575531,1.130619,0.801220,-2.485374,0.171450,-0.785043,1.248362,-1.389285,1.761632,-0.484725,-1.658515,-0.335338,-1.336036,2.616632,0.186486,-0.957525,-0.048475,-0.817553
variable_3,0.960260,1.646245,1.308556,1.983052,-0.777855,-2.422463,-1.064195,0.591120,0.723629,0.420524,0.754592,1.168483,0.423207,-0.255192,1.337057,0.309259,-0.307130,-0.023310,-2.346189,1.297209,-0.526891,0.019019,-0.097504,-1.056684,-0.028879,-0.135683,1.354692,0.646323,0.653635,-1.259555,-0.649283,-0.305492,0.668654,0.056699,-0.495635,1.027899,0.288923,1.080868,-2.033862,0.762319,-1.373307,-1.069509,-1.327371,1.390659,-1.301655,-1.207705,-1.676300,-0.012971,0.545659,-1.269226,0.031582,0.119555,1.296904,1.880061,-1.195478,0.032311,1.034398,-1.393848,-0.039258,-1.078669,-0.189329,-0.016868,0.445145,2.329374,0.194428,-0.393130,1.463681,1.750401,0.502615,0.134698,0.020600,-0.096248,-1.634934,0.153696,-0.901916,-0.567029,0.062123,-0.955083,0.461000,2.142912,1.310816,0.196086,-0.559658,1.014997,0.451192,-0.856634,-1.704075,-0.077310,0.584658,0.513973,-0.358208,-0.446047,-0.441724,-0.873672,-1.312181,-0.392788,1.153696,0.179776,-1.289219,0.073344
variable_4,0.231288,-0.140103,-1.742429,0.453681,-0.827149,0.505615,0.860289,-1.008306,0.411982,0.790524,0.310087,-1.928673,0.737582,-0.257550,-0.811747,-2.949564,-0.829937,-0.499541,-0.452614,0.531018,-0.381233,-0.182933,-1.999608,0.382552,0.504726,-0.952555,-0.097560,0.639643,0.089184,-1.270425,-0.666390,-0.476269,0.169975,1.196896,-0.690815,0.020976,1.192290,-0.149375,0.816868,-0.554775,-1.630235,0.303030,1.106878,0.937659,-1.594802,-0.132583,-1.107865,-0.513288,-1.149466,-1.075732,-0.105413,-0.890417,0.270484,0.510800,1.070206,-1.324801,-0.013913,-0.584409,-0.416911,0.912399,-0.815910,0.363051,0.390724,-0.993705,-0.142229,0.034342,-1.686085,-0.174364,-0.057740,-0.638194,-0.038564,-0.481965,1.239477,-0.677894,-1.165390,1.712406,0.405913,0.211664,-0.018176,0.414875,1.632496,-1.222614,-0.661666,-0.368250,0.888889,-0.382343,-0.220357,0.495105,-0.164254,0.348828,-0.191146,0.544332,-0.510737,0.279498,-0.262711,-0.517729,1.295485,-0.074553,0.992451,1.026443
variable_5,0.375140,0.617939,0.675094,-0.190271,1.105830,0.671675,-0.933256,-1.392929,0.279681,-0.613761,0.424314,0.031358,0.597321,0.220444,0.155296,-0.388015,0.188714,-1.179419,-0.373564,-0.833612,-1.036514,-1.061259,0.229262,1.268673,0.835192,0.725731,-0.570996,-0.238339,0.136644,-0.755771,-1.216220,3.547587,-1.271591,-0.495358,-0.294007,-0.004843,-0.545464,0.814277,0.368941,0.304189,-0.903045,0.053614,1.869618,-0.029448,0.432846,1.155241,0.607930,-0.362671,-0.542309,-0.309194,-1.271861,1.619377,-0.767806,-0.344047,0.780449,-0.240971,0.806668,0.942626,-1.419447,-0.277341,-1.240481,-0.759950,-0.630337,1.858866,-0.434626,-0.654684,-1.650471,-1.155741,-0.296787,-0.152127,0.355817,1.704589,0.247630,-0.580367,0.047314,0.173862,0.809199,0.542874,1.029319,1.367239,0.171710,-1.306918,0.041702,-0.127618,-0.121346,-1.306934,-0.551585,0.047606,1.183979,-0.873693,0.215719,0.289668,0.656382,1.885109,-0.002786,-0.963715,1.341341,-0.234427,-0.446217,-0.248065
variable_6,0.763920,-1.141857,-0.727944,1.161930,-0.050229,-1.556529,0.359663,-1.431212,0.518245,2.190778,0.130648,1.257508,0.906868,-0.950733,1.071527,-0.442768,0.089351,-0.171176,0.567740,1.215158,-1.107089,-0.055174,1.048730,-1.645241,0.670071,-2.092506,1.103699,0.267907,0.468885,0.726000,-0.702921,0.168597,-0.634527,0.547527,-0.845962,-0.028001,-1.473657,-0.920240,0.361613,1.067447,-0.313875,-0.810665,-0.526663,1.757862,0.186900,0.554175,-0.232076,-0.658864,-0.946356,0.944585,-0.169779,-0.646725,0.324770,-1.082864,-0.853889,-2.066066,-0.080148,0.361108,-0.250487,1.701799,0.056010,0.781351,1.094391,0.618246,1.044183,0.134961,-0.603857,0.854068,1.707378,0.464654,0.194178,-0.908199,-1.541887,-0.169780,1.407771,-0.088756,-0.742763,2.074975,0.027591,1.259616,0.117698,0.479780,-1.425847,-0.131985,1.185200,-0.594431,0.269430,-0.344985,-0.837182,0.442077,0.530485,-0.501552,2.462167,-1.393258,-2.059770,0.454168,0.491707,-0.247048,0.944404,-1.236339
variable_7,0.971781,-0.443456,0.903918,-0.454086,-0.882363,-0.287830,-1.117939,-0.564424,-0.643341,1.700452,0.276359,0.499615,1.280096,-0.308871,-0.599128,0.709521,-0.069402,-0.010504,0.843260,0.370555,0.910829,1.057386,-0.409742,-0.132336,0.873747,-0.034443,-0.404372,-0.885492,-0.044850,0.906952,-1.420256,0.733248,-0.363020,-1.326859,-0.651587,-0.706136,1.194762,1.908167,-2.012225,-1.185725,-1.372540,-0.077293,1.700557,-0.521784,0.428198,-0.137730,-0.229433,0.237666,0.788247,-0.395373,-0.008833,1.309754,2.262892,1.100514,1.361058,-1.460640,1.488899,0.715341,-1.096643,-0.843472,0.155152,0.784790,-0.730704,0.242471,1.116170,0.275390,0.323348,1.228346,-0.545724,-1.566085,-0.712002,0.262446,1.001874,-0.493406,0.197108,-0.351534,-1.335713,0.675130,-1.047224,1.048139,-0.304451,-1.222813,-0.800033,-1.143793,-1.446656,-0.783292,-0.970616,-0.676073,0.019846,0.534815,-0.325189,0.147420,0.265303,1.502065,-0.479843,-1.801248,0.372216,0.460077,0.915733,-0.759512
variable_8,-0.801712,0.681851,0.606739,-0.456219,1.173052,-0.853745,0.084862,0.745817,0.478145,-1.405195,1.544869,-1.622727,-0.346693,1.102927,-0.990194,-1.221749,0.811910,-0.448256,-0.605914,1.043675,-1.717419,1.584061,-0.664431,-0.566508,-1.239188,-2.171870,-0.205204,-0.017698,-0.430417,1.110120,1.322158,0.459234,0.387382,0.600851,0.372677,-0.275694,0.971715,0.679419,-0.471641,-0.471508,0.541791,0.542761,0.443519,0.189619,-1.342932,-1.930679,-0.486260,1.694837,0.626958,-0.748433,-0.765248,-0.148446,0.041609,1.286325,1.054150,-0.335948,0.315590,-0.282050,0.124790,-0.930324,-1.243186,0.676284,1.044927,-0.522382,-0.586912,-0.500280,0.274635,-0.943551,1.592568,0.052437,-0.032151,0.916399,-0.723139,0.387943,0.706765,1.004589,1.148263,0.159347,0.856619,-0.460519,0.094219,0.021530,-0.651534,-1.476737,-0.512034,0.763338,-0.406952,-0.909456,-0.866059,-2.045291,0.639109,1.239240,-1.327820,0.189357,0.817538,1.460931,-0.143940,0.448383,-0.318979,-0.272272
variable_9,0.659832,-0.944325,0.912152,-0.063461,1.867259,0.091955,-0.368133,0.787815,1.455516,-1.206165,0.249567,-0.546564,1.599611,0.255860,-2.194555,-2.231877,-0.949067,0.493567,0.375764,-0.319706,-1.164592,-0.018145,1.105104,0.867721,-1.168294,-0.188868,-0.212092,0.275111,-2.252065,0.407603,-0.418192,2.032489,0.070125,-0.531123,-0.202222,-0.967674,1.896701,-0.210473,-1.182083,-0.030479,-1.188222,-0.466846,-0.382059,1.696044,-0.618637,0.145972,0.785843,-1.356875,2.177070,-0.365672,-0.355661,1.130150,0.147027,0.737720,-1.561767,0.754035,1.021461,-0.341058,0.658176,-1.961192,-0.742399,0.581428,0.005332,-2.132352,-1.296028,0.084384,-1.236945,-0.495046,-0.980225,-0.521018,1.756420,1.324638,-0.286705,0.712184,0.643780,-0.100995,1.146846,-1.540829,0.305620,0.661563,0.859392,3.046708,0.920447,0.261958,1.976463,1.515323,0.041650,-2.361938,0.083484,1.485750,2.417386,0.717316,0.606599,0.675942,0.211485,1.989724,-1.206413,0.189993,-0.132251,-0.459017
variable_10,0.429577,-1.897076,1.096080,0.746312,0.385662,1.368369,0.995320,-1.045350,-1.700955,0.402296,1.111843,-0.737797,0.196957,0.035718,-2.348334,-0.165867,0.564741,-0.543557,-1.850611,-0.504341,2.593370,0.419261,0.919351,1.717984,-1.668358,-0.804918,-0.141347,1.050003,0.224571,-1.127724,-1.571614,-0.753889,-1.729846,-0.763069,1.738798,-1.115296,1.858062,-0.715810,-0.328454,1.259240,0.238370,0.882968,0.834549,0.403618,1.682873,-0.176192,0.429909,-0.514022,0.529945,-0.117773,0.316435,0.238045,-1.389706,-0.145123,0.780284,-1.847179,0.392554,0.959398,0.495875,1.649049,0.248518,-1.265307,2.382050,0.424398,-0.192490,1.570391,0.413210,-0.187326,-1.273281,-1.493460,-0.312321,0.047667,-1.716961,-0.338467,0.497237,1.282457,-0.476930,-1.311027,-0.026972,0.477628,-0.261595,0.503538,-1.704730,-1.752258,-0.060538,-0.967043,-0.262160,-0.118475,-0.715760,0.191265,-0.129989,-0.850064,1.069298,0.366190,-0.275390,-0.207723,1.250271,0.581969,1.543671,0.048955
