feature_index,signal_type,signal_scale,noise_variance
76,step,0.45,1.00
116,step,0.45,1.00
120,step,0.45,1.00
138,step,0.45,1.00
184,step,0.45,1.00
201,step,0.45,1.00
202,step,0.45,1.00
217,step,0.45,1.00
220,step,0.45,1.00
222,step,0.45,1.00
267,step,0.45,1.00
271,step,0.45,1.00
277,step,0.45,1.00
285,step,0.45,1.00
306,step,0.45,1.00
311,step,0.45,1.00
365,step,0.45,1.00
408,step,0.45,1.00
410,step,0.45,1.00
412,step,0.45,1.00
454,step,0.45,1.00
459,step,0.45,1.00
495,step,0.45,1.00
507,step,0.45,1.00
511,step,0.45,1.00
540,step,0.45,1.00
543,step,0.45,1.00
554,step,0.45,1.00
571,step,0.45,1.00
640,step,0.45,1.00
670,step,0.45,1.00
687,step,0.45,1.00
691,step,0.45,1.00
712,step,0.45,1.00
737,step,0.45,1.00
769,step,0.45,1.00
813,step,0.45,1.00
833,step,0.45,1.00
837,step,0.45,1.00
848,step,0.45,1.00
856,step,0.45,1.00
868,step,0.45,1.00
880,step,0.45,1.00
883,step,0.45,1.00
899,step,0.45,1.00
917,step,0.45,1.00
989,step,0.45,1.00
996,step,0.45,1.00
998,step,0.45,1.00
999,step,0.45,1.00
